DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr,fractal_spectral_lag_window,fractal_spectral_multitaper,fractal_spectral_wosa,fractal_spectral_direct,lillie_test,anderson_darling,pearson_test,cramer_test,shapiro_francia,shapiro_test,adf,kpps_level,kpps_trend,pp,hurts_tsf,max_level_shift_tsf,max_var_shift_tsf,max_kl_shift_tsf,alpha_tsf,beta_tsf,gamma_tsf,firstmin_ac_tsf,firstzero_ac_tsf,std1st_der_tsf,spreadrandomlocal_meantaul_tsf,fluctanal_prop_r1_tsf
-0.2101223,-0.5116953,27,4,0.32547634,0.06712216,0.91025641,56,0.02333333,4,0.34657124,3,0.04545455,0.77292111,0.20682303,0.86854879,7,1.76766795,0.13043478,0.13043478,0.04908739,0.60834789,1.147502147,1.17896474,1.168985486,1.141149026,5.36E-08,3.01E-10,0.000267303,1.27E-07,3.17E-09,2.79E-10,0.755577425,0.01,0.01,0.01,0.997528213,2939.166667,3858552.273,3.248480232,0.430822358,0.000100012,0.253462855,4,44,861.1909329,2.89,0.130434783
-0.60526854,-0.85545446,18,4,0.24542068,0.03045513,0.96794872,60,0.01157407,6,0.26278509,3,0.02631579,0.70895522,0.26652452,0.75955698,5,1.98427337,0.13043478,0.82608696,0.06135923,0.6699033,1.016946793,1.090161015,1.08148288,1.200751855,9.94E-06,4.26E-08,0.00039673,1.34E-06,5.86E-06,9.69E-07,0.445126787,0.062058936,0.01,0.01,0.976963722,841.6666667,202669.697,5.952939162,0.391100114,0.00010035,0.000100015,4,38,358.9462331,2.2,0.130434783
-1.06E+00,-8.80E-01,9.90E+01,3.11E+02,1.41E+00,9.86E-05,2.86E-01,1.95E+02,1.67E-01,0.00E+00,3.77E+00,5.00E+00,5.95E-03,8.23E-01,-6.50E-01,9.90E-01,6.00E+00,1.19E+00,1.52E-01,8.70E-01,1.23E-02,4.63E-02,1.492098153,1.655226038,1.667978515,1.525184701,1.13E-18,4.01E-23,1.91E-43,7.37E-10,4.42E-12,6.63E-14,0.99,0.01,0.01,0.819527784,0.999913465,827.5833333,128528.8409,0.104204914,0.755027295,0.004493959,0.000100182,311,168,123.5754636,3.39,0.152173913
0.29459697,0.50412155,11,19,0.53307842,-0.02876442,0.92592593,32,0.16666667,21,0.48394788,17,0.02941176,-0.68292683,0.77439024,0.84357786,5,1.59243072,0.75,0.65625,0.09817477,0.45465807,1.584438894,1.639000522,1.593686676,1.425310369,0.069744664,0.039328954,0.490578517,0.040394397,0.109849766,0.059808032,0.456283344,0.01,0.1,0.030686969,0.993284063,192.0833333,12997.35606,1.067751523,0.98000745,0.000101349,0.00023884,19,34,64.44960228,3.05,0.75
0.56882753,-0.09271638,6,11,0.28281253,0.04733061,0.96396396,23,0.02083333,11,0.198108,10,0.07692308,0.5,-0.3125,0.79468619,7,1.84672782,0.81081081,0.43243243,0.14726216,0.66256596,1.500545497,1.432820636,1.405545693,1.332327053,0.030489392,0.065074662,0.008378472,0.102335861,0.083997568,0.044224776,0.194967547,0.011301963,0.1,0.01,0.982065548,154.1666667,13042.42424,1.665262369,0.578575653,0.000770004,0.00011135,11,13,70.07121684,2.93,0.810810811
3.63E-01,-1.37E+00,8.20E+01,2.32E+02,1.19E+00,2.61E-04,1.74E-01,2.62E+02,4.00E-02,2.05E+02,1.36E+00,4.00E+01,1.55E-02,-1.43E-01,-7.36E-01,9.95E-01,1.20E+01,1.21E+00,8.51E-01,8.30E-01,1.23E-02,8.20E-02,1.591269568,1.621124284,1.627604677,1.59986245,9.43E-22,3.70E-24,1.60E-57,7.37E-10,1.08E-12,1.77E-14,0.67493147,0.01,0.01,0.953273345,0.999859983,2083.333333,855681.8182,3.108822181,0.954548648,0.059574051,0.000100027,232,129,159.5806512,3.52,0.85106383
0.76073259,-0.469892657,16,30,0.840047131,0.001679587,0.81981982,49,0.166666667,36,1.238912653,29,0.097560976,0.705357143,-0.321428571,0.965919874,7,1.633766839,0.837837838,0.702702703,0.049087385,0.277501847,2.199727691,2.236979353,2.245598205,1.827006267,0.00689274,0.000195754,0.01767513,0.000438124,0.001785929,0.000349118,0.072711636,0.01,0.015451542,0.545504407,0.997487501,151.6666667,6421.174242,1.357841299,0.772755793,0.163375098,0.000100154,30,41,23.92950677,3.67,0.837837838
-0.752966983,-0.936118904,21,62,1.131546906,0.001433778,0.792792793,49,0.166666667,36,1.417590168,21,0.023809524,0.758928571,-0.660714286,0.966669488,7,1.549551812,0.810810811,0.648648649,0.049087385,0.171750406,2.201994836,2.327482937,2.354219232,1.732959712,0.000181644,6.52E-06,0.000115232,2.07E-05,0.000500393,9.55E-05,0.071093833,0.01,0.015987211,0.578953677,0.998734176,192.25,5724.431818,0.627575948,0.598322619,0.18584178,0.000100235,62,42,31.27914529,4.24,0.810810811
0.206262462,-0.050617497,53,6,0.561481271,0.008115273,0.84774665,45,0.027777778,11,0.55505879,5,0.023809524,-0.760340633,0.853406326,0.964281154,11,1.651836537,0.191489362,0.255319149,0.012271846,0.465301948,1.409762946,1.289652904,1.283807528,1.232495659,9.89E-11,8.43E-16,5.61E-12,1.46E-09,7.44E-09,6.15E-10,0.330601086,0.01,0.01,0.01,0.99923075,2203.333333,2725845.455,7.475789725,0.80962665,0.001182731,0.190162192,6,126,439.5557107,3.48,0.191489362
-0.679885304,-0.86830448,66,186,1.116666964,0.001636431,0.24109589,102,0.074074074,0,1.041757691,40,0.00877193,-0.849726776,0.349726776,0.985495565,17,1.264635383,0.866666667,0.8,0.012271846,0.086558036,1.785588028,1.673278981,1.710712402,1.59500015,4.07E-56,3.70E-24,6.11E-83,7.37E-10,2.93E-17,6.03E-20,0.438752906,0.01,0.01,0.884728647,0.999859983,1740.833333,969463.6364,0.198940287,0.973520674,0.013583364,0.000100059,186,114,210.5836137,3.94,0.866666667
